image_id,hash_method,attack_type,target_image_id,target_hash_hex,step,elapsed_ms,target_dist_raw,target_dist_norm,best_target_dist_norm,l2,linf,ssim,success,source_path,target_path
__HYPERPARAMS__,pdq,collision_whitebox_pdq_subset,,,0,,,,,,,,,source=./inputs/pdq_subset_10; target_hashset=/home/exouser/ar-sec-eval/dataset_hashes/imagenette_train_pdq_hashes.csv; lr=0.002; opt=Adam; ssim_w=5.0; temperature=20.0; max_steps=1000; target_hamming_T=0.0; threads=2; target_selection=nearest_distinct_hash; surrogate_median=source,
n01440764_n01440764_8052,pdq,collision_whitebox_pdq_subset,n03000684_2797,c934e6cf5a9fd9f2654d7b06989c0cda3f69033cc616e82a27a540d4f0c83737,1,136.408,100.0,0.390625,0.390625,0.0,0.0,0.0,0,./inputs/pdq_subset_10/n01440764_n01440764_8052.jpeg,data/imagenette2-320/train/n03000684/n03000684_2797.JPEG
n02102040_n02102040_1592,pdq,collision_whitebox_pdq_subset,n03394916_45969,c850018ebdc3cc3919beb9d18581072fbde1f00f03fc27a1fe36815e1beed8e1,1,4.947,98.0,0.3828125,0.3828125,0.0,0.0,0.0,0,./inputs/pdq_subset_10/n02102040_n02102040_1592.jpeg,data/imagenette2-320/train/n03394916/n03394916_45969.JPEG
n02102040_n02102040_1592,pdq,collision_whitebox_pdq_subset,n03394916_45969,c850018ebdc3cc3919beb9d18581072fbde1f00f03fc27a1fe36815e1beed8e1,2,225.881,102.0,0.3984375,0.3828125,2.109621524810791,0.003921598196029663,0.9986311793327332,0,./inputs/pdq_subset_10/n02102040_n02102040_1592.jpeg,data/imagenette2-320/train/n03394916/n03394916_45969.JPEG
n01440764_n01440764_8052,pdq,collision_whitebox_pdq_subset,n03000684_2797,c934e6cf5a9fd9f2654d7b06989c0cda3f69033cc616e82a27a540d4f0c83737,2,362.414,100.0,0.390625,0.390625,2.164503335952759,0.003921598196029663,0.9995473027229309,0,./inputs/pdq_subset_10/n01440764_n01440764_8052.jpeg,data/imagenette2-320/train/n03000684/n03000684_2797.JPEG
n02102040_n02102040_1592,pdq,collision_whitebox_pdq_subset,n03394916_45969,c850018ebdc3cc3919beb9d18581072fbde1f00f03fc27a1fe36815e1beed8e1,3,297.847,102.0,0.3984375,0.3828125,2.2259178161621094,0.003921598196029663,0.9985485076904297,0,./inputs/pdq_subset_10/n02102040_n02102040_1592.jpeg,data/imagenette2-320/train/n03394916/n03394916_45969.JPEG
n01440764_n01440764_8052,pdq,collision_whitebox_pdq_subset,n03000684_2797,c934e6cf5a9fd9f2654d7b06989c0cda3f69033cc616e82a27a540d4f0c83737,3,442.71,100.0,0.390625,0.390625,2.2700259685516357,0.003921598196029663,0.9994949698448181,0,./inputs/pdq_subset_10/n01440764_n01440764_8052.jpeg,data/imagenette2-320/train/n03000684/n03000684_2797.JPEG
n02102040_n02102040_1592,pdq,collision_whitebox_pdq_subset,n03394916_45969,c850018ebdc3cc3919beb9d18581072fbde1f00f03fc27a1fe36815e1beed8e1,4,372.757,102.0,0.3984375,0.3828125,2.2306764125823975,0.003921598196029663,0.9985400438308716,0,./inputs/pdq_subset_10/n02102040_n02102040_1592.jpeg,data/imagenette2-320/train/n03394916/n03394916_45969.JPEG
n01440764_n01440764_8052,pdq,collision_whitebox_pdq_subset,n03000684_2797,c934e6cf5a9fd9f2654d7b06989c0cda3f69033cc616e82a27a540d4f0c83737,4,542.868,100.0,0.390625,0.390625,2.2737252712249756,0.003921598196029663,0.9994984269142151,0,./inputs/pdq_subset_10/n01440764_n01440764_8052.jpeg,data/imagenette2-320/train/n03000684/n03000684_2797.JPEG
n02102040_n02102040_1592,pdq,collision_whitebox_pdq_subset,n03394916_45969,c850018ebdc3cc3919beb9d18581072fbde1f00f03fc27a1fe36815e1beed8e1,5,460.991,102.0,0.3984375,0.3828125,2.24499773979187,0.003921598196029663,0.9985141754150391,0,./inputs/pdq_subset_10/n02102040_n02102040_1592.jpeg,data/imagenette2-320/train/n03394916/n03394916_45969.JPEG
