image_id,hash_method,attack_type,step,elapsed_ms,dist_raw,dist_norm,best_dist_norm,l2,linf,ssim,success,source_path
__HYPERPARAMS__,pdq,evasion_whitebox_pdq,0,,,,,,,,,source=./inputs/pdq_subset_10; lr=0.002; opt=Adam; ssim_w=5.0; temperature=20.0; max_steps=5; hamming_T=0.08; threads=1
n01440764_n01440764_8052,pdq,evasion_whitebox_pdq,1,214.113,0.0,0.0,0.0,0.0,0.0,0.0,0,./inputs/pdq_subset_10/n01440764_n01440764_8052.jpeg
n01440764_n01440764_8052,pdq,evasion_whitebox_pdq,2,472.8,0.0,0.0,0.0,2.1891837120056152,0.003921598196029663,0.9995328783988953,0,./inputs/pdq_subset_10/n01440764_n01440764_8052.jpeg
n01440764_n01440764_8052,pdq,evasion_whitebox_pdq,3,543.019,0.0,0.0,0.0,2.290424346923828,0.003921598196029663,0.9994752407073975,0,./inputs/pdq_subset_10/n01440764_n01440764_8052.jpeg
n01440764_n01440764_8052,pdq,evasion_whitebox_pdq,4,609.559,0.0,0.0,0.0,2.292384147644043,0.003921598196029663,0.9994778633117676,0,./inputs/pdq_subset_10/n01440764_n01440764_8052.jpeg
n01440764_n01440764_8052,pdq,evasion_whitebox_pdq,5,675.967,0.0,0.0,0.0,2.2986981868743896,0.003921598196029663,0.9994769096374512,0,./inputs/pdq_subset_10/n01440764_n01440764_8052.jpeg
n02102040_n02102040_1592,pdq,evasion_whitebox_pdq,1,2.479,0.0,0.0,0.0,0.0,0.0,0.0,0,./inputs/pdq_subset_10/n02102040_n02102040_1592.jpeg
n02102040_n02102040_1592,pdq,evasion_whitebox_pdq,2,67.516,4.0,0.015625,0.015625,2.164268970489502,0.003921598196029663,0.9986433386802673,0,./inputs/pdq_subset_10/n02102040_n02102040_1592.jpeg
n02102040_n02102040_1592,pdq,evasion_whitebox_pdq,3,138.451,4.0,0.015625,0.015625,2.26812481880188,0.003921598196029663,0.998546302318573,0,./inputs/pdq_subset_10/n02102040_n02102040_1592.jpeg
n02102040_n02102040_1592,pdq,evasion_whitebox_pdq,4,222.056,4.0,0.015625,0.015625,2.271851062774658,0.003921598196029663,0.9985404014587402,0,./inputs/pdq_subset_10/n02102040_n02102040_1592.jpeg
n02102040_n02102040_1592,pdq,evasion_whitebox_pdq,5,287.518,4.0,0.015625,0.015625,2.2824034690856934,0.003921598196029663,0.9985194206237793,0,./inputs/pdq_subset_10/n02102040_n02102040_1592.jpeg
