image_id,hash_method,attack_type,step,elapsed_ms,dist_raw,dist_norm,l2,linf,ssim,success,source_path
__HYPERPARAMS__,phash,evasion,0,0,,,,,,,source=/home/exouser/ar-sec-eval/inputs/inputs_500; lr=0.001; opt=Adam; ssim_w=5.0; edges_only=False; hamming_T=0.12; check_interval=1; threads=8; temperature=20.0
ILSVRC2012_val_00014381__cdfef1d2c9,phash,evasion,1,122.907,0.0,0.0,0.0,0.0,0.0,0,/home/exouser/ar-sec-eval/inputs/inputs_500/ILSVRC2012_val_00014381__cdfef1d2c9.jpeg
ILSVRC2012_val_00025121__4a16e48fd0,phash,evasion,1,135.16,0.0,0.0,0.0,0.0,0.0,0,/home/exouser/ar-sec-eval/inputs/inputs_500/ILSVRC2012_val_00025121__4a16e48fd0.jpeg
ILSVRC2012_val_00003351__a4591751d1,phash,evasion,1,136.215,0.0,0.0,0.0,0.0,0.0,0,/home/exouser/ar-sec-eval/inputs/inputs_500/ILSVRC2012_val_00003351__a4591751d1.jpeg
ILSVRC2012_val_00025430__268ccfcd75,phash,evasion,1,136.161,0.0,0.0,0.0,0.0,0.0,0,/home/exouser/ar-sec-eval/inputs/inputs_500/ILSVRC2012_val_00025430__268ccfcd75.jpeg
ILSVRC2012_val_00024560__e74ccf439a,phash,evasion,1,128.298,0.0,0.0,0.0,0.0,0.0,0,/home/exouser/ar-sec-eval/inputs/inputs_500/ILSVRC2012_val_00024560__e74ccf439a.jpeg
ILSVRC2012_val_00022792__914a966190,phash,evasion,1,97.191,0.0,0.0,0.0,0.0,0.0,0,/home/exouser/ar-sec-eval/inputs/inputs_500/ILSVRC2012_val_00022792__914a966190.jpeg
ILSVRC2012_val_00009111__afa522e7eb,phash,evasion,1,131.606,0.0,0.0,0.0,0.0,0.0,0,/home/exouser/ar-sec-eval/inputs/inputs_500/ILSVRC2012_val_00009111__afa522e7eb.jpeg
ILSVRC2012_val_00003620__a6e4864228,phash,evasion,1,130.024,0.0,0.0,0.0,0.0,0.0,0,/home/exouser/ar-sec-eval/inputs/inputs_500/ILSVRC2012_val_00003620__a6e4864228.jpeg
ILSVRC2012_val_00025121__4a16e48fd0,phash,evasion,2,353.007,0.0,0.0,0.0,0.0,0.0,0,/home/exouser/ar-sec-eval/inputs/inputs_500/ILSVRC2012_val_00025121__4a16e48fd0.jpeg
ILSVRC2012_val_00022792__914a966190,phash,evasion,2,314.27,0.0,0.0,0.0,0.0,0.0,0,/home/exouser/ar-sec-eval/inputs/inputs_500/ILSVRC2012_val_00022792__914a966190.jpeg
ILSVRC2012_val_00003620__a6e4864228,phash,evasion,2,353.253,0.0,0.0,0.0,0.0,0.0,0,/home/exouser/ar-sec-eval/inputs/inputs_500/ILSVRC2012_val_00003620__a6e4864228.jpeg
