image_id,hash_method,attack_type,step,elapsed_ms,dist_raw,dist_norm,l2,linf,ssim,success,source_path
__HYPERPARAMS__,phash,evasion,0,0,,,,,,,source=./inputs/inputs_50; lr=0.001; opt=Adam; ssim_w=5; edges_only=False; hamming_T=0.1; check_interval=1; threads=8; temperature=20.0
n03000684_1040,phash,evasion,1,227.102,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_1040.JPEG
n03000684_12570,phash,evasion,1,220.957,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_12570.JPEG
n03000684_11180,phash,evasion,1,224.357,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_11180.JPEG
ILSVRC2012_val_00025890,phash,evasion,1,221.131,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/ILSVRC2012_val_00025890.JPEG
n03000684_11821,phash,evasion,1,229.846,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_11821.JPEG
n03000684_1100,phash,evasion,1,224.077,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_1100.JPEG
ILSVRC2012_val_00026061,phash,evasion,1,224.427,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/ILSVRC2012_val_00026061.JPEG
n03000684_12880,phash,evasion,1,224.757,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_12880.JPEG
ILSVRC2012_val_00026061,phash,evasion,2,770.723,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/ILSVRC2012_val_00026061.JPEG
n03000684_1040,phash,evasion,2,775.792,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_1040.JPEG
n03000684_11821,phash,evasion,2,780.441,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_11821.JPEG
n03000684_12880,phash,evasion,2,771.873,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_12880.JPEG
n03000684_1100,phash,evasion,2,771.593,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_1100.JPEG
n03000684_11180,phash,evasion,2,779.562,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_11180.JPEG
n03000684_12570,phash,evasion,2,768.09,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_12570.JPEG
ILSVRC2012_val_00025890,phash,evasion,2,770.004,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/ILSVRC2012_val_00025890.JPEG
ILSVRC2012_val_00026061,phash,evasion,3,817.697,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/ILSVRC2012_val_00026061.JPEG
n03000684_1040,phash,evasion,3,827.873,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_1040.JPEG
n03000684_11821,phash,evasion,3,854.442,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_11821.JPEG
n03000684_12880,phash,evasion,3,878.421,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_12880.JPEG
n03000684_11180,phash,evasion,3,879.84,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_11180.JPEG
ILSVRC2012_val_00026061,phash,evasion,4,887.566,4.0,0.0625,0.3556324541568756,0.003921598196029663,0.9999082088470459,0,./inputs/inputs_50/ILSVRC2012_val_00026061.JPEG
n03000684_1100,phash,evasion,3,876.464,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_1100.JPEG
n03000684_1040,phash,evasion,4,889.518,2.0,0.03125,0.31311216950416565,0.003921598196029663,0.9999129772186279,0,./inputs/inputs_50/n03000684_1040.JPEG
n03000684_12570,phash,evasion,3,872.81,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_12570.JPEG
ILSVRC2012_val_00025890,phash,evasion,3,877.289,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/ILSVRC2012_val_00025890.JPEG
n03000684_11821,phash,evasion,4,903.544,2.0,0.03125,0.3468538224697113,0.003921598196029663,0.9998225569725037,0,./inputs/inputs_50/n03000684_11821.JPEG
ILSVRC2012_val_00026061,phash,evasion,5,976.528,4.0,0.0625,0.3737442195415497,0.003921598196029663,0.9998899102210999,0,./inputs/inputs_50/ILSVRC2012_val_00026061.JPEG
n03000684_12880,phash,evasion,4,979.41,4.0,0.0625,0.4113349914550781,0.003921598196029663,0.9999174475669861,0,./inputs/inputs_50/n03000684_12880.JPEG
n03000684_1040,phash,evasion,5,990.864,2.0,0.03125,0.3413342237472534,0.003921598196029663,0.9998837113380432,0,./inputs/inputs_50/n03000684_1040.JPEG
n03000684_11821,phash,evasion,5,995.662,2.0,0.03125,0.38559213280677795,0.003921598196029663,0.9997640252113342,0,./inputs/inputs_50/n03000684_11821.JPEG
n03000684_11180,phash,evasion,4,1000.866,4.0,0.0625,0.39137178659439087,0.003921598196029663,0.9999107718467712,0,./inputs/inputs_50/n03000684_11180.JPEG
ILSVRC2012_val_00025890,phash,evasion,4,995.502,6.0,0.09375,0.39613670110702515,0.003921598196029663,0.9998481869697571,0,./inputs/inputs_50/ILSVRC2012_val_00025890.JPEG
n03000684_12570,phash,evasion,4,993.529,2.0,0.03125,0.4073337912559509,0.003921598196029663,0.9999024271965027,0,./inputs/inputs_50/n03000684_12570.JPEG
n03000684_1100,phash,evasion,4,996.423,2.0,0.03125,0.3959619402885437,0.003921598196029663,0.999919593334198,0,./inputs/inputs_50/n03000684_1100.JPEG
ILSVRC2012_val_00026061,phash,evasion,6,1031.639,4.0,0.0625,0.37563222646713257,0.003921598196029663,0.9998885989189148,0,./inputs/inputs_50/ILSVRC2012_val_00026061.JPEG
n03000684_12880,phash,evasion,5,1039.843,4.0,0.0625,0.4239286482334137,0.003921598196029663,0.9999052286148071,0,./inputs/inputs_50/n03000684_12880.JPEG
n03000684_11821,phash,evasion,6,1053.158,2.0,0.03125,0.3891848027706146,0.003921598196029663,0.999760627746582,0,./inputs/inputs_50/n03000684_11821.JPEG
n03000684_1040,phash,evasion,6,1053.66,2.0,0.03125,0.34483057260513306,0.003921598196029663,0.999881386756897,0,./inputs/inputs_50/n03000684_1040.JPEG
n03000684_11180,phash,evasion,5,1061.741,4.0,0.0625,0.4110731780529022,0.003921598196029663,0.9998946189880371,0,./inputs/inputs_50/n03000684_11180.JPEG
ILSVRC2012_val_00026061,phash,evasion,7,1092.888,4.0,0.0625,0.37793833017349243,0.003921598196029663,0.9998887777328491,0,./inputs/inputs_50/ILSVRC2012_val_00026061.JPEG
ILSVRC2012_val_00025890,phash,evasion,5,1074.283,6.0,0.09375,0.41688692569732666,0.003921598196029663,0.9998249411582947,0,./inputs/inputs_50/ILSVRC2012_val_00025890.JPEG
n03000684_12570,phash,evasion,5,1080.637,2.0,0.03125,0.4214728772640228,0.003921598196029663,0.9998923540115356,0,./inputs/inputs_50/n03000684_12570.JPEG
n03000684_11821,phash,evasion,7,1111.183,2.0,0.03125,0.392313688993454,0.003921598196029663,0.9997614622116089,0,./inputs/inputs_50/n03000684_11821.JPEG
n03000684_1100,phash,evasion,5,1086.198,2.0,0.03125,0.41368368268013,0.003921598196029663,0.9999043345451355,0,./inputs/inputs_50/n03000684_1100.JPEG
n03000684_1040,phash,evasion,7,1117.414,2.0,0.03125,0.3473854660987854,0.003921598196029663,0.9998818635940552,0,./inputs/inputs_50/n03000684_1040.JPEG
n03000684_12880,phash,evasion,6,1106.369,4.0,0.0625,0.4248165190219879,0.003921598196029663,0.9999040961265564,0,./inputs/inputs_50/n03000684_12880.JPEG
n03000684_11180,phash,evasion,6,1122.775,4.0,0.0625,0.4119514226913452,0.003921598196029663,0.9998936653137207,0,./inputs/inputs_50/n03000684_11180.JPEG
ILSVRC2012_val_00026061,phash,evasion,8,1145.733,4.0,0.0625,0.38117972016334534,0.003921598196029663,0.9998885989189148,0,./inputs/inputs_50/ILSVRC2012_val_00026061.JPEG
ILSVRC2012_val_00025890,phash,evasion,6,1144.941,6.0,0.09375,0.4177897274494171,0.003921598196029663,0.999823808670044,0,./inputs/inputs_50/ILSVRC2012_val_00025890.JPEG
n03000684_1040,phash,evasion,8,1188.601,2.0,0.03125,0.3532678186893463,0.003921598196029663,0.9998818635940552,0,./inputs/inputs_50/n03000684_1040.JPEG
n03000684_11821,phash,evasion,8,1185.802,2.0,0.03125,0.4012475609779358,0.003921598196029663,0.9997615814208984,0,./inputs/inputs_50/n03000684_11821.JPEG
n03000684_12880,phash,evasion,7,1190.049,4.0,0.0625,0.42685696482658386,0.003921598196029663,0.9999034404754639,0,./inputs/inputs_50/n03000684_12880.JPEG
n03000684_11180,phash,evasion,7,1197.022,4.0,0.0625,0.4137951731681824,0.003921598196029663,0.9998931884765625,0,./inputs/inputs_50/n03000684_11180.JPEG
ILSVRC2012_val_00026061,phash,evasion,9,1205.03,4.0,0.0625,0.43723294138908386,0.003921598196029663,0.9998542070388794,0,./inputs/inputs_50/ILSVRC2012_val_00026061.JPEG
n03000684_1100,phash,evasion,6,1195.509,2.0,0.03125,0.4139438271522522,0.003921598196029663,0.9999040365219116,0,./inputs/inputs_50/n03000684_1100.JPEG
n03000684_12570,phash,evasion,6,1195.26,2.0,0.03125,0.42256608605384827,0.003921598196029663,0.999891996383667,0,./inputs/inputs_50/n03000684_12570.JPEG
n03000684_1040,phash,evasion,9,1232.874,2.0,0.03125,0.393096923828125,0.003921598196029663,0.9998622536659241,0,./inputs/inputs_50/n03000684_1040.JPEG
ILSVRC2012_val_00025890,phash,evasion,7,1218.077,6.0,0.09375,0.4177897274494171,0.003921598196029663,0.9998239874839783,0,./inputs/inputs_50/ILSVRC2012_val_00025890.JPEG
n03000684_11821,phash,evasion,9,1237.67,2.0,0.03125,0.4490153193473816,0.003921598196029663,0.9997297525405884,0,./inputs/inputs_50/n03000684_11821.JPEG
n03000684_12880,phash,evasion,8,1253.77,4.0,0.0625,0.43122991919517517,0.003921598196029663,0.9999024271965027,0,./inputs/inputs_50/n03000684_12880.JPEG
n03000684_11180,phash,evasion,8,1270.323,4.0,0.0625,0.42176467180252075,0.003921598196029663,0.9998911619186401,0,./inputs/inputs_50/n03000684_11180.JPEG
ILSVRC2012_val_00026061,phash,evasion,10,1285.843,4.0,0.0625,0.6101285219192505,0.003921598196029663,0.9997652173042297,0,./inputs/inputs_50/ILSVRC2012_val_00026061.JPEG
__HYPERPARAMS__,phash,evasion,0,0,,,,,,,source=./inputs/inputs_50; lr=0.001; opt=Adam; ssim_w=5; edges_only=False; hamming_T=0.1; check_interval=1; threads=8; temperature=20.0
ILSVRC2012_val_00026061,phash,evasion,1,125.309,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/ILSVRC2012_val_00026061.JPEG
n03000684_1040,phash,evasion,1,127.741,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_1040.JPEG
n03000684_11821,phash,evasion,1,129.272,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_11821.JPEG
n03000684_12880,phash,evasion,1,128.288,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_12880.JPEG
n03000684_11180,phash,evasion,1,123.478,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_11180.JPEG
n03000684_1100,phash,evasion,1,128.65,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/n03000684_1100.JPEG
ILSVRC2012_val_00025890,phash,evasion,1,130.589,0.0,0.0,0.0,0.0,0.0,0,./inputs/inputs_50/ILSVRC2012_val_00025890.JPEG
