image_id,hash_method,attack_type,step,elapsed_ms,dist_raw,dist_norm,best_dist_norm,l2,linf,ssim,success,source_path
__HYPERPARAMS__,pdq,evasion_blackbox_pdq,0,,,,,,,,,source=./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg; lr=0.02; c_spsa=0.1; spsa_samples=4; max_steps=30; ssim_w=1.0; hamming_T=0.08; threads=1; oracle=current_image_median
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,1,585.365,0.0,0.0,0.0,0.0,0.0,0.0,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,2,2423.338,0.0,0.0,0.0,0.0,0.0,0.0,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,3,3825.407,0.0,0.0,0.0,0.0,0.0,0.0,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,4,5335.346,0.0,0.0,0.0,0.0,0.0,0.0,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,5,6783.49,0.0,0.0,0.0,0.0,0.0,0.0,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,6,7801.355,0.0,0.0,0.0,0.006792355794459581,0.003921568393707275,1.0,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,7,9552.335,0.0,0.0,0.0,0.021834367886185646,0.003921568393707275,0.9999997019767761,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,8,11063.043,0.0,0.0,0.0,0.042599137872457504,0.003921598196029663,0.9999984502792358,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,9,12377.334,0.0,0.0,0.0,0.053194742649793625,0.003921598196029663,0.9999973773956299,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,10,13032.398,0.0,0.0,0.0,0.11147192120552063,0.003921598196029663,0.99998939037323,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,11,15044.398,0.0,0.0,0.0,0.12677042186260223,0.003921598196029663,0.9999859929084778,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,12,16878.426,0.0,0.0,0.0,0.16812510788440704,0.003921598196029663,0.9999749064445496,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,13,18251.345,0.0,0.0,0.0,0.2517155408859253,0.003921598196029663,0.9999446868896484,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,14,19280.947,0.0,0.0,0.0,0.28697332739830017,0.003921598196029663,0.9999268651008606,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,15,20419.622,0.0,0.0,0.0,0.26171985268592834,0.003921598196029663,0.9999403357505798,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,16,21607.352,0.0,0.0,0.0,0.3315540850162506,0.003921598196029663,0.9999029040336609,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,17,23393.904,0.0,0.0,0.0,0.30318212509155273,0.003921598196029663,0.9999184012413025,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,18,25313.459,0.0,0.0,0.0,0.3915879726409912,0.003921598196029663,0.9998634457588196,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,19,27062.363,0.0,0.0,0.0,0.40669092535972595,0.003921598196029663,0.999852180480957,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,20,28769.467,0.0,0.0,0.0,0.38212722539901733,0.003921598196029663,0.999870777130127,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,21,29655.204,0.0,0.0,0.0,0.4469362497329712,0.003921598196029663,0.9998228549957275,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,22,30307.501,0.0,0.0,0.0,0.40795567631721497,0.003921598196029663,0.9998528957366943,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,23,30552.904,0.0,0.0,0.0,0.4869503080844879,0.003921598196029663,0.9997901916503906,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,24,30784.593,0.0,0.0,0.0,0.4442443549633026,0.003921598196029663,0.9998247027397156,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,25,31031.156,0.0,0.0,0.0,0.4804327189922333,0.003921598196029663,0.9997951984405518,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,26,31253.888,0.0,0.0,0.0,0.5401896238327026,0.003921598196029663,0.9997409582138062,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,27,31481.648,0.0,0.0,0.0,0.561134397983551,0.003921598196029663,0.9997217655181885,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,28,31708.937,0.0,0.0,0.0,0.5832529664039612,0.003921598196029663,0.9996978044509888,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,29,31936.657,0.0,0.0,0.0,0.6621783375740051,0.003921598196029663,0.9996129870414734,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
n03425413_n03425413_1342,pdq,evasion_blackbox_pdq,30,32181.241,0.0,0.0,0.0,0.6136642098426819,0.003921598196029663,0.9996671080589294,0,./inputs/pdq_subset_10/n03425413_n03425413_1342.jpeg
