image_id,hash_method,attack_type,step,elapsed_ms,dist_raw,dist_norm,l2,linf,ssim,success,source_path
__HYPERPARAMS__,phash,evasion,0,0,,,,,,,source=inputs/inputs_500/ILSVRC2012_val_00026451__2bb12e27a0.jpeg; lr=0.001; opt=Adam; ssim_w=5; edges_only=False; hamming_T=0.1; check_interval=1; threads=1; temperature=20.0
ILSVRC2012_val_00026451__2bb12e27a0,phash,evasion,1,117.468,0.0,0.0,0.0,0.0,0.0,0,inputs/inputs_500/ILSVRC2012_val_00026451__2bb12e27a0.jpeg
ILSVRC2012_val_00026451__2bb12e27a0,phash,evasion,2,353.024,0.0,0.0,0.0,0.0,0.0,0,inputs/inputs_500/ILSVRC2012_val_00026451__2bb12e27a0.jpeg
ILSVRC2012_val_00026451__2bb12e27a0,phash,evasion,3,403.007,0.0,0.0,0.0,0.0,0.0,0,inputs/inputs_500/ILSVRC2012_val_00026451__2bb12e27a0.jpeg
ILSVRC2012_val_00026451__2bb12e27a0,phash,evasion,4,450.383,8.0,0.125,0.4186538755893707,0.003921598196029663,0.999945342540741,1,inputs/inputs_500/ILSVRC2012_val_00026451__2bb12e27a0.jpeg
__HYPERPARAMS__,phash,evasion,0,0,,,,,,,source=inputs/inputs_500/n03000684_12430__7805c36f02.jpeg; lr=0.001; opt=Adam; ssim_w=5; edges_only=False; hamming_T=0.1; check_interval=1; threads=1; temperature=20.0
n03000684_12430__7805c36f02,phash,evasion,1,116.683,0.0,0.0,0.0,0.0,0.0,0,inputs/inputs_500/n03000684_12430__7805c36f02.jpeg
n03000684_12430__7805c36f02,phash,evasion,2,347.843,0.0,0.0,0.0,0.0,0.0,0,inputs/inputs_500/n03000684_12430__7805c36f02.jpeg
n03000684_12430__7805c36f02,phash,evasion,3,396.348,0.0,0.0,0.0,0.0,0.0,0,inputs/inputs_500/n03000684_12430__7805c36f02.jpeg
n03000684_12430__7805c36f02,phash,evasion,4,441.55,8.0,0.125,0.4207424819469452,0.003921598196029663,0.9999710917472839,1,inputs/inputs_500/n03000684_12430__7805c36f02.jpeg
__HYPERPARAMS__,phash,evasion,0,0,,,,,,,source=inputs/inputs_500/n01440764_4512__da0237bb9b.jpeg; lr=0.001; opt=Adam; ssim_w=5; edges_only=False; hamming_T=0.1; check_interval=1; threads=1; temperature=20.0
n01440764_4512__da0237bb9b,phash,evasion,1,115.892,0.0,0.0,0.0,0.0,0.0,0,inputs/inputs_500/n01440764_4512__da0237bb9b.jpeg
n01440764_4512__da0237bb9b,phash,evasion,2,352.909,0.0,0.0,0.0,0.0,0.0,0,inputs/inputs_500/n01440764_4512__da0237bb9b.jpeg
n01440764_4512__da0237bb9b,phash,evasion,3,417.294,0.0,0.0,0.0,0.0,0.0,0,inputs/inputs_500/n01440764_4512__da0237bb9b.jpeg
